TOWN_LOCALITY,REGION,YEAR,FOOD,CLOTHING,HOUSING,HOUSEHOLD_EQUIPMENT_OPERATION,TRANSPORTATION,TOBACCO_ALCOHOL,HEALTH_PERSONAL_CARE,RECREATION_EDUCATION,ALL_GROUPS,LONGITUDE,LATITUDE
Albany,Great Southern,2000,-1.5,11.5,0.4,-0.9,5.1,3.7,-0.6,7.4,2,117.884727,-35.023819
Broome,Kimberley,2000,19.3,9.6,38.7,1.6,10.8,9.5,5,6.9,13.2,122.245049,-17.95215
Bunbury,South West,2000,1.5,14.8,-0.1,-6.5,2.9,0.8,-2,10.8,1.2,115.636093,-33.327419
Busselton,South West,2000,-0.8,11.8,4,-1.2,5.6,6.3,-0.6,7.2,2.9,115.34463,-33.64994
Byford,Peel,2000,3.7,5.6,2.6,-1.5,-3.5,4.2,-2.9,-0.2,0.6,116.00807,-32.22151
Carnarvon,Gascoyne,2000,2.8,17,4.1,1.9,10.3,5.3,-2.1,16.2,5.9,113.695953,-24.864031
Derby,Kimberley,2000,17.4,18.3,30.9,4.7,11.5,19.8,3.4,13.6,14.6,123.630112,-17.30368
Esperance,Goldfields-Esperance,2000,5.8,17,0,-1.8,6.1,7.6,-0.8,11.6,4.4,121.838799,-33.81831
Exmouth,Gascoyne,2000,23.1,23.8,11.4,1.6,23.7,14.7,0,14.2,14,114.122391,-21.930719
Gascoyne,Gascoyne,2000,12.5,23.8,7.7,1.7,16.8,9.9,-2.1,15.2,5.9,116.097923,-25.432289
Geraldton,Mid West,2000,8.7,14.7,0,-1.8,5.4,7.7,-2.4,3.2,3.8,114.611229,-28.77305
Goldfields-Esperance,Goldfields-Esperance,2000,11.1,15.6,18.5,-0.5,8.7,16.3,0.9,8.7,5.6,121.91196,-33.83297
Great Southern,Great Southern,2000,-1.5,10.2,0.6,2.7,5,5.4,-1.1,4,3.5,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2000,9.1,13.8,13.5,0.8,8.4,3,0.9,7.9,6.8,121.476013,-30.74799
Karratha,Pilbara,2000,13.5,17.8,23.1,1.8,12,7.2,2.9,11.5,10.8,116.846802,-20.736691
Kimberley,Kimberley,2000,16.7,18.3,33.3,2.4,10.3,13,3.4,13.2,13.5,124.33964,-17.40375
Mandurah,Peel,2000,1.7,6.7,0.3,-1.3,-2.4,1.6,-0.6,3,0.5,115.742561,-32.53664
Mid West,Mid West,2000,11.5,14,1,-1.7,6.8,9.3,-2.6,7.8,5.4,115.9969,-31.86357
Narrogin,Wheatbelt,2000,4.2,14.2,0,3.3,6.5,4.6,-1.4,8.5,4.4,117.17645,-32.93468
Northam,Wheatbelt,2000,0.4,13.1,1.9,-4.6,1.2,8.8,-3,11.3,2,116.671059,-31.654921
Port Hedland,Pilbara,2000,12.4,22.2,33.5,3.7,7.6,10.4,2.9,6,11.6,118.559258,-20.366859
South West,South West,2000,0.3,13.3,-0.1,-3.9,4.2,3.5,-0.6,9,2,116.24409,-20.80619
Wheatbelt,Wheatbelt,2000,2.3,13.6,1.9,-0.7,3.8,6.7,-1.4,9.9,4.4,118.0953,-32.0334
Albany,Great Southern,2007,-1.9,2.3,-9.2,2.8,0.3,-1.2,-2.2,-3.4,-2.5,117.884727,-35.023819
Broome,Kimberley,2007,9.5,1.9,31.8,9.9,1.1,2.7,1.8,43.5,17.2,122.245049,-17.95215
Bunbury,South West,2007,3.6,3.3,-9,4.5,0,1,-1,42.2,6.1,115.636093,-33.327419
Busselton,South West,2007,7.6,3.3,-9.8,3.3,-0.2,2.4,-1.1,44.1,6.8,115.34463,-33.64994
Byford,Peel,2007,3.1,11.3,0.2,3.7,1.1,2.2,0.1,2.4,2.1,116.00807,-32.22151
Carnarvon,Gascoyne,2007,1.2,11.2,-9.8,4.5,1.1,5.3,-2.3,15.6,2.1,113.695953,-24.864031
Denmark,Great Southern,2007,2.8,11.8,-17.8,4.8,0.6,3,0.2,33,3.4,117.35623,-34.96196
Derby,Kimberley,2007,15.4,15.9,4.9,11.6,1.5,7.1,5.2,47.4,14.5,123.630112,-17.30368
Esperance,Goldfields-Esperance,2007,6.3,6.9,1.9,3.6,0.8,5.3,-0.5,4.6,3.5,121.838799,-33.81831
Exmouth,Gascoyne,2007,16.8,11.2,-0.8,7.8,2.2,7.2,-1.4,48.5,12.7,114.122391,-21.930719
Gascoyne,Gascoyne,2007,5.9,5.9,11.2,-7.1,5.5,-2,1.4,25.5,5.3,116.097923,-25.432289
Geraldton,Mid West,2007,5.6,7.2,-11.5,3.4,0.6,3.5,-1,39.1,5.7,114.611229,-28.77305
Gingin,Wheatbelt,2007,7.8,11.1,-16.4,3.9,0.4,5.4,2.5,53.3,7.8,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2007,7.1,7.9,8.4,3,4.9,1.7,0.5,5.4,4.5,121.91196,-33.83297
Great Southern,Great Southern,2007,-1.4,-0.8,3.2,-10.1,3,-2,0.3,0.3,-1.9,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2007,7.4,8.9,3.3,5.3,0.4,8.8,2.4,5.7,4.9,121.476013,-30.74799
Karratha,Pilbara,2007,14.4,3.9,55.1,8,1.6,5.3,4.9,42.2,23.1,116.846802,-20.736691
Kimberley,Kimberley,2007,10.8,3.8,3.5,27.1,10.4,2.5,1.2,44.3,16.9,124.33964,-17.40375
Mandurah,Peel,2007,3.4,4.8,-11.5,0.5,0.1,-0.4,-0.3,19,1.3,115.742561,-32.53664
Mid West,Mid West,2007,5.6,3.7,7.1,-11.8,3.6,-0.9,0.6,38.3,5.6,115.9969,-31.86357
Narrogin,Wheatbelt,2007,0.3,9.8,-12.4,2.7,0.5,7.9,0.6,50.7,6.8,117.17645,-32.93468
Northam,Wheatbelt,2007,-0.8,9.4,-2.6,1.4,0.2,2.1,-1.4,32.4,5.1,116.671059,-31.654921
Port Hedland,Pilbara,2007,-0.6,3.2,43.8,6.1,2,5.2,2.7,40.9,17.6,118.559258,-20.366859
South West,South West,2007,4.6,1.4,3.3,-9.2,4.2,-1.1,0,42.7,6.3,116.24409,-20.80619
Toodyay,Wheatbelt,2007,5.8,11.1,-6.1,4.5,0.2,8.5,1.1,40.8,7.9,116.46776,-31.55
Wheatbelt,Wheatbelt,2007,0.7,5.1,10,-6.9,2.5,0,0.6,41.2,6.4,118.0953,-32.0334
Albany,Great Southern,2011,1.6,4.5,-5.1,5.2,0.3,3,3.7,-1.2,-0.1,117.884727,-35.023819
Broome,Kimberley,2011,19.7,20.9,16.4,12.9,12.5,6.3,7.7,16,15.2,122.245049,-17.95215
Bunbury,South West,2011,6.6,6.8,-6.4,0,1.9,0,0.4,6.4,0.6,115.636093,-33.327419
Busselton,South West,2011,3,10.5,-6.9,1.2,-0.1,1.9,-1.1,6.1,-0.2,115.34463,-33.64994
Carnarvon,Gascoyne,2011,6.2,17.3,7.7,10.6,9.4,6.2,0.4,-0.8,6.7,113.695953,-24.864031
Denmark,Great Southern,2011,-2.1,25.1,-0.6,10.7,2.6,4.7,3.3,0.4,2.7,117.35623,-34.96196
Derby,Kimberley,2011,11.4,29.3,80.4,11.7,16.4,8.4,7.5,10.4,32.6,123.630112,-17.30368
Esperance,Goldfields-Esperance,2011,6,24.4,-5.6,6,3.9,2.6,4.8,1.2,2,121.838799,-33.81831
Exmouth,Gascoyne,2011,27.3,17.5,14.8,17.1,8.2,12.2,5.3,10.1,15.8,114.122391,-21.930719
Gascoyne,Gascoyne,2011,12.2,17.4,9.7,12.5,9.4,7.9,1.8,2.3,9.3,116.097923,-25.432289
Geraldton,Mid West,2011,6.1,19.8,-3.7,4.1,0.3,2.1,3.1,1.8,1.7,114.611229,-28.77305
Gingin,Wheatbelt,2011,10.8,14.2,-4,6.4,3.2,8.1,1.6,-1.5,2.6,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2011,9.9,13.1,2.9,4.7,2.7,3.4,3.7,5.9,5.1,121.91196,-33.83297
Great Southern,Great Southern,2011,1.1,7.2,-4.5,5.9,0.6,3.2,3.6,-1,0.2,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2011,11.2,7.6,6.5,3.7,2.1,3.4,2.9,7.9,6.2,121.476013,-30.74799
Karratha,Pilbara,2011,15.5,17.4,102,7.2,9.5,1.1,12.2,9.5,37.5,116.846802,-20.736691
Kimberley,Kimberley,2011,18.3,23.4,33.1,12.7,14.2,7.9,8.9,13.9,20,124.33964,-17.40375
Mandurah,Peel,2011,4.5,4.4,-5.3,-0.1,-0.1,-1.9,-2.8,2,-0.6,115.742561,-32.53664
Mid West,Mid West,2011,7.8,20,-3.8,5.2,0.9,2.9,3.3,1.6,2.2,115.9969,-31.86357
Narrogin,Wheatbelt,2011,2,10.8,-5.6,-1.3,5.6,6.1,5,0.1,0,117.17645,-32.93468
Northam,Wheatbelt,2011,1.4,13.8,-3,1.2,2,2.9,2.2,-1.1,0.3,116.671059,-31.654921
Port Hedland,Pilbara,2011,12.8,17.9,96.5,9.8,12.6,0.8,9,9.3,36.1,118.559258,-20.366859
South West,South West,2011,4.9,8.6,-6.6,0.6,0.6,0.9,-0.3,6.2,0.2,116.24409,-20.80619
Toodyay,Wheatbelt,2011,4.5,13.8,-2.8,3.5,2.1,7.8,4.2,-1.5,1.4,116.46776,-31.55
Wheatbelt,Wheatbelt,2011,4.3,13.1,-3.7,2.4,3.1,5.8,3,-1,1,118.0953,-32.0334
Albany,Great Southern,2013,1.8,2.8,-15.8,0.9,-0.2,1,10.8,5.2,-2.9,117.884727,-35.023819
Broome,Kimberley,2013,7.5,11.3,33.7,10.5,5.7,12,2.3,10.8,16,122.245049,-17.95215
Bunbury,South West,2013,-1.3,9.5,-7.3,1.4,1.6,1.4,4.2,6.5,-0.5,115.636093,-33.327419
Busselton,South West,2013,-1.5,15.2,-2.6,0.4,-1.3,4.3,-3.1,6.9,0.3,115.34463,-33.64994
Byford,Peel,2013,1.8,2.5,-0.4,1.1,-1.6,3.4,8.1,-10,-0.7,116.00807,-32.22151
Carnarvon,Gascoyne,2013,7.4,20.1,20.4,5.1,1.9,11.5,6.4,-7.9,8.5,113.695953,-24.864031
Denmark,Great Southern,2013,6.7,18.8,-4.5,0.9,1.3,2.8,13.9,-4.9,0.7,117.35623,-34.96196
Derby,Kimberley,2013,10.7,14.2,13.4,10.5,10.4,14.2,-1,3.6,10.7,123.630112,-17.30368
Esperance,Goldfields-Esperance,2013,6.4,14.9,-3.1,7.9,5.8,5.2,20.6,4,4.3,121.838799,-33.81831
Exmouth,Gascoyne,2013,-1.4,17.5,21.1,8.1,15.7,2.7,0.6,0.4,10.1,114.122391,-21.930719
Gascoyne,Gascoyne,2013,4.9,19.4,20.6,6,5.9,9,4.8,-5.5,9,116.097923,-25.432289
Geraldton,Mid West,2013,2.6,21.8,-3,3.7,0.9,3.5,14.9,4.7,2.4,114.611229,-28.77305
Gingin,Wheatbelt,2013,11.4,29.6,-8,1.2,2.4,5.8,6.6,-4.7,0.8,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2013,6.5,8.7,-2.6,4.2,1.8,5.4,19,11,4.1,121.91196,-33.83297
Great Southern,Great Southern,2013,2.4,4.9,-14.4,0.9,0,1.2,11.2,3.9,-2.4,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2013,6,4.9,-2.3,2.4,0,4.8,18.7,14,3.9,121.476013,-30.74799
Karratha,Pilbara,2013,1,15.9,41.5,9.7,10.4,0.9,37,9.1,18.8,116.846802,-20.736691
Kimberley,Kimberley,2013,14.7,13.6,16.9,25.6,3.7,14.5,9.7,8.8,6.5,124.33964,-17.40375
Mandurah,Peel,2013,1.1,2.5,-2.1,-0.9,5.2,-0.5,8.6,-5.3,-0.2,115.742561,-32.53664
Mid West,Mid West,2013,2.9,4.6,21.6,-2.3,15.4,4.3,4.1,0.2,4.4,115.9969,-31.86357
Narrogin,Wheatbelt,2013,-6.2,3.2,18.6,0.2,0.3,3.2,12.5,-10.7,-6.2,117.17645,-32.93468
Northam,Wheatbelt,2013,2.3,27.9,0.6,-1.7,2.4,4.6,7.4,-2.6,1.6,116.671059,-31.654921
Port Hedland,Pilbara,2013,1.9,-5.3,47.7,10.4,13.4,19.3,28.2,15.5,21.8,118.559258,-20.366859
South West,South West,2013,-1.4,12.2,-5,0.9,0.2,2.8,0.7,6.7,-0.1,116.24409,-20.80619
Toodyay,Wheatbelt,2013,1.2,31.5,8.2,3.1,2,16.6,11.1,-5.1,4.8,116.46776,-31.55
Wheatbelt,Wheatbelt,2013,3.6,27.1,-3.9,0.3,2,7.4,8.7,-5.2,0.5,118.0953,-32.0334
Albany,Great Southern,2015,3,4.4,-4.8,11.3,-4.5,-5.1,-8.1,1.4,0,117.884727,-35.023819
Broome,Kimberley,2015,13.8,21.7,16.6,20.5,2.2,8.1,15.4,11.8,14,122.245049,-17.95215
Bunbury,South West,2015,13.3,8.2,-0.2,1.8,1.5,-2.2,1.4,-0.9,2.7,115.636093,-33.327419
Busselton,South West,2015,9.7,11.1,-2.5,7.4,-2,2.2,-1.1,-9.6,0.8,115.34463,-33.64994
Byford,Peel,2015,5.6,2.5,-2,6.8,3.4,2.2,4.4,-7.2,1.2,116.00807,-32.22151
Carnarvon,Gascoyne,2015,9.9,30,6.5,21.7,4.1,5.8,8.6,-2,8.7,113.695953,-24.864031
Denmark,Great Southern,2015,9.2,5.6,-8.6,9.1,4.9,9.2,-8.4,-9.2,-0.2,117.35623,-34.96196
Derby,Kimberley,2015,17.7,11,16.7,28.8,18.2,11,16.4,15.1,17.7,123.630112,-17.30368
Esperance,Goldfields-Esperance,2015,11.5,23,-0.6,19.4,15.5,8.3,13,-0.5,8.3,121.838799,-33.81831
Exmouth,Gascoyne,2015,37.4,32.5,24.8,15,14.1,13.7,7.8,8.1,20.7,114.122391,-21.930719
Gascoyne,Gascoyne,2015,18.1,30.8,12,19.7,7.1,8.1,8.4,1,12.3,116.097923,-25.432289
Geraldton,Mid West,2015,4,-1.7,-1.8,14.6,-0.7,-0.1,10.2,-3.6,2.2,114.611229,-28.77305
Gingin,Wheatbelt,2015,17.1,1,0,0.8,6.7,2,4.8,4.7,4.8,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2015,6.4,5.6,-5.6,11.9,7,3.9,8.9,1.9,3.2,121.91196,-33.83297
Great Southern,Great Southern,2015,3.8,4.5,-5.3,11,-3.2,-3.4,-8.2,0,0,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2015,2.8,-2.4,-7.3,8.1,2.8,1.2,7.7,2.8,0.6,121.476013,-30.74799
Karratha,Pilbara,2015,22.6,0.7,32.9,11.3,13.5,5.9,21,-1.2,18,116.846802,-20.736691
Kimberley,Kimberley,2015,16.6,20.3,15.4,22.3,10,9.7,12.5,12.4,15.4,124.33964,-17.40375
Mandurah,Peel,2015,8.2,3.5,-6.4,0.2,-6.6,-4.2,-3,-3,-2,115.742561,-32.53664
Mid West,Mid West,2015,6.4,-1.8,-1.6,14.8,1.7,0.9,9.9,-4.3,2.9,115.9969,-31.86357
Narrogin,Wheatbelt,2015,-0.6,4.4,-2.3,0,15.9,4.4,10.6,-0.6,-0.6,117.17645,-32.93468
Northam,Wheatbelt,2015,2.9,1.1,-7,3.1,-0.4,4.6,-3.5,10.2,0.3,116.671059,-31.654921
Port Hedland,Pilbara,2015,16,-8.9,38.4,12.7,8.1,5.1,16.6,-3.7,17.2,118.559258,-20.366859
South West,South West,2015,12.3,9,-0.8,3.4,0.5,-0.9,0.7,-3.3,2.2,116.24409,-20.80619
Toodyay,Wheatbelt,2015,7.3,1.1,-0.5,16.7,8.6,9.8,10.7,2.9,6.1,116.46776,-31.55
Wheatbelt,Wheatbelt,2015,7.1,0.4,-5.8,5.3,6.1,5.7,3.7,6.2,2.3,118.0953,-32.0334
Albany,Great Southern,2017,-0.7,1.7,-2.6,-0.6,-0.7,-0.9,8.5,4.3,-0.1,117.884727,-35.023819
Broome,Kimberley,2017,4.2,2.1,15.8,8.8,6.2,6.6,7.1,7,9.1,122.245049,-17.95215
Bunbury,South West,2017,1.7,6.3,2.5,3.3,2.9,-0.9,1.6,0.3,2.2,115.636093,-33.327419
Busselton,South West,2017,-1.1,1.7,-1.2,3.9,-1.7,-2.8,1.7,1.7,0.1,115.34463,-33.64994
Byford,Peel,2017,-2.3,-2.3,-4.3,3.3,-3.4,1.2,3.3,0.4,-1.8,116.00807,-32.22151
Carnarvon,Gascoyne,2017,1.1,4.7,6.4,4.5,0.7,7.5,10.4,10.3,5.2,113.695953,-24.864031
Denmark,Great Southern,2017,3.9,19.3,-6.9,8.1,0.7,4.4,3.5,5.6,1.6,117.35623,-34.96196
Derby,Kimberley,2017,21.1,4.7,15.9,16.6,3.9,12.4,15.2,2,18.4,123.630112,-17.30368
Esperance,Goldfields-Esperance,2017,9.3,-0.9,-3.8,1.4,0,5,11.2,3.4,1.8,121.838799,-33.81831
Exmouth,Gascoyne,2017,23.5,,21.8,23.3,3.8,10.5,3,11.5,17,114.122391,-21.930719
Gascoyne,Gascoyne,2017,8.5,11.5,11.5,10.7,1.7,8.5,7.9,10.7,9.1,116.097923,-25.432289
Geraldton,Mid West,2017,4.9,4.2,-6.1,2.5,0.2,5.1,-2.6,5,0.3,114.611229,-28.77305
Gingin,Wheatbelt,2017,13.8,16,0,10.3,-2.9,6.7,0,8.3,5.4,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2017,8.7,-0.9,-3.5,1.4,0.8,4.3,9.3,2.3,1.3,121.91196,-33.83297
Great Southern,Great Southern,2017,-0.1,4.2,-3.2,0.6,-0.5,-0.2,7.8,4.4,0.2,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2017,6.4,-0.9,-2.8,1,2,2.3,5.7,-1,0.8,121.476013,-30.74799
Karratha,Pilbara,2017,11.4,4.3,20.4,5.2,0.6,-1.1,13.3,6.6,10.4,116.846802,-20.736691
Kimberley,Kimberley,2017,12.4,2.2,17.8,13.6,6,9.3,8.1,4.2,12.9,124.33964,-17.40375
Mandurah,Peel,2017,0.1,-2.7,-6.7,2.3,-3.3,0.1,-2.3,-2.9,-2.8,115.742561,-32.53664
Mid West,Mid West,2017,6.4,4.4,-5.2,3.4,0.7,6.1,-1.5,5.2,1.2,115.9969,-31.86357
Narrogin,Wheatbelt,2017,-0.2,2.6,-4.4,2.4,4.2,5.8,6.5,4.7,0.8,117.17645,-32.93468
Northam,Wheatbelt,2017,-0.2,7.6,-6,2.4,-1.8,2.6,0.1,0.4,-1.3,116.671059,-31.654921
Port Hedland,Pilbara,2017,10,2.9,33.4,4,2,5.7,10.1,5.7,13.5,118.559258,-20.366859
South West,South West,2017,0.9,5,1.4,3.5,1.5,-1.5,1.7,0.7,1.6,116.24409,-20.80619
Toodyay,Wheatbelt,2017,6.1,,2.3,17.2,0.8,9.1,3.4,-4.6,4.5,116.46776,-31.55
Wheatbelt,Wheatbelt,2017,4.3,8.4,-3,7,-0.5,5.5,2,2.2,1.7,118.0953,-32.0334
Albany,Great Southern,2019,-2.9,-3.5,5.4,-2.2,-0.2,0.3,5.5,3.9,1.4,117.884727,-35.023819
Broome,Kimberley,2019,8.1,24.7,22.2,5.2,12.3,5.2,4.7,15,13.6,122.245049,-17.95215
Bunbury,South West,2019,1.2,2,1.8,2,1.4,0.9,0.7,3.5,1.9,115.636093,-33.327419
Busselton,South West,2019,0.1,1.8,2.8,1.3,0.4,0.4,2,2.4,1.6,115.34463,-33.64994
Byford,Peel,2019,0.6,0,3.6,4.5,-0.9,-1.2,6.1,12.2,3.7,116.00807,-32.22151
Carnarvon,Gascoyne,2019,1.8,8.9,2.7,8.2,2.4,4,-0.4,8.4,4.3,113.695953,-24.864031
Denmark,Great Southern,2019,-4.3,6.2,4.3,5.7,-0.1,-3,3.1,2.7,2,117.35623,-34.96196
Derby,Kimberley,2019,3.4,29.2,3.1,20,14.9,22.4,6.1,18.7,11.2,123.630112,-17.30368
Esperance,Goldfields-Esperance,2019,-1.6,3.7,3.1,0.9,-2,-0.3,3.8,6.2,1.7,121.838799,-33.81831
Exmouth,Gascoyne,2019,10.8,39.6,11.6,8.7,1.2,11.3,1.5,27.1,12.2,114.122391,-21.930719
Geraldton,Mid West,2019,3.2,-0.5,3.3,6.8,6.4,9.1,2.4,3.8,4.3,114.611229,-28.77305
Gingin,Wheatbelt,2019,8.6,-100,0.8,5.2,-5.9,3.5,2.9,-6,-2,115.90472,-31.34608
Kalgoorlie,Goldfields-Esperance,2019,7.2,-1.9,1.2,1.5,6.5,10.8,4,-2.1,2.9,121.476013,-30.74799
Karratha,Pilbara,2019,4.9,5.8,27.7,6.7,5.2,3,13.1,7.1,12.6,116.846802,-20.736691
Kununurra,Kimberley,2019,2.2,19.4,18.1,10.1,7.6,11.6,15.3,4.2,10.6,128.73922,-15.77362
Mandurah,Peel,2019,1.3,0,-0.9,1.3,-0.7,-0.3,-2.2,4.4,0.5,115.742561,-32.53664
Mt Magnet,Mid West,2019,10,-100,-0.3,10.8,7.5,10.1,-6.8,11.9,2.8,117.84841,-28.06521
Narrogin,Wheatbelt,2019,-6.4,-8.3,-2.7,4.2,2.9,-6.4,-2.5,-5,-1.3,117.17645,-32.93468
Northam,Wheatbelt,2019,-3.8,-2.2,-0.7,-3.5,-0.7,-0.4,-5.5,4.4,-1.2,116.671059,-31.654921
Port Hedland,Pilbara,2019,7.2,10.9,39.4,5.4,12.9,15.9,48.7,1.3,18.7,118.559258,-20.366859
Toodyay,Wheatbelt,2019,-1.1,-100,2.8,4.1,2.5,4.9,0.4,9.3,0,116.46776,-31.55